,train,val,test
a1965749-357f-11eb-801a-001a7dda7111,True,False,False
a195e24e-357f-11eb-8cc5-001a7dda7111,True,False,False
a19609b0-357f-11eb-b110-001a7dda7111,True,False,False
a195bad0-357f-11eb-ae3c-001a7dda7111,True,False,False
a195bb37-357f-11eb-972f-001a7dda7111,True,False,False
a197b702-357f-11eb-9003-001a7dda7111,True,False,False
a1978fb8-357f-11eb-90ba-001a7dda7111,True,False,False
a19741b5-357f-11eb-af91-001a7dda7111,True,False,False
a197b6ab-357f-11eb-a35b-001a7dda7111,True,False,False
a196cc54-357f-11eb-9ffb-001a7dda7111,True,False,False
a196578b-357f-11eb-a121-001a7dda7111,True,False,False
a196f392-357f-11eb-b88c-001a7dda7111,True,False,False
a1951f01-357f-11eb-a6d9-001a7dda7111,True,False,False
a195e26c-357f-11eb-95a8-001a7dda7111,True,False,False
a19741d9-357f-11eb-a319-001a7dda7111,True,False,False
a195e20d-357f-11eb-89f6-001a7dda7111,True,False,False
a1951ecb-357f-11eb-bea5-001a7dda7111,True,False,False
a196098d-357f-11eb-bfb7-001a7dda7111,True,False,False
a196300c-357f-11eb-9960-001a7dda7111,True,False,False
a19804d7-357f-11eb-9743-001a7dda7111,True,False,False
a1982c9a-357f-11eb-93b5-001a7dda7111,True,False,False
a19768b1-357f-11eb-ac81-001a7dda7111,True,False,False
a196cc58-357f-11eb-b24a-001a7dda7111,True,False,False
a19593e9-357f-11eb-8689-001a7dda7111,True,False,False
a195e235-357f-11eb-8350-001a7dda7111,True,False,False
a197b6e3-357f-11eb-90e8-001a7dda7111,True,False,False
a1967e51-357f-11eb-936f-001a7dda7111,True,False,False
a1965782-357f-11eb-8f87-001a7dda7111,True,False,False
a1978fcc-357f-11eb-804c-001a7dda7111,True,False,False
a195e21c-357f-11eb-b93b-001a7dda7111,True,False,False
a19804f7-357f-11eb-80fd-001a7dda7111,True,False,False
a1980542-357f-11eb-8067-001a7dda7111,True,False,False
a1982ca0-357f-11eb-b2b7-001a7dda7111,True,False,False
a19741bb-357f-11eb-89f8-001a7dda7111,True,False,False
a1951ea4-357f-11eb-a591-001a7dda7111,True,False,False
a1980563-357f-11eb-b8ef-001a7dda7111,True,False,False
a19741da-357f-11eb-8a51-001a7dda7111,True,False,False
a19657b9-357f-11eb-9fbf-001a7dda7111,True,False,False
a1971a8a-357f-11eb-bd90-001a7dda7111,True,False,False
a197688a-357f-11eb-acd9-001a7dda7111,True,False,False
a1982c2a-357f-11eb-970d-001a7dda7111,True,False,False
a1967e9a-357f-11eb-bdc1-001a7dda7111,True,False,False
a1978f99-357f-11eb-8a04-001a7dda7111,True,False,False
a1956cdb-357f-11eb-a2b4-001a7dda7111,True,False,False
a19593c9-357f-11eb-b474-001a7dda7111,True,False,False
a19741c3-357f-11eb-a705-001a7dda7111,True,False,False
a195badc-357f-11eb-a490-001a7dda7111,True,False,False
a1982c63-357f-11eb-b699-001a7dda7111,True,False,False
a19593fd-357f-11eb-98f7-001a7dda7111,True,False,False
a196576b-357f-11eb-b10e-001a7dda7111,True,False,False
a1971abb-357f-11eb-907a-001a7dda7111,True,False,False
a19805b6-357f-11eb-a8c2-001a7dda7111,True,False,False
a1980595-357f-11eb-94c6-001a7dda7111,True,False,False
a1956cfa-357f-11eb-9673-001a7dda7111,True,False,False
a195e265-357f-11eb-a245-001a7dda7111,True,False,False
a1951f24-357f-11eb-8b7d-001a7dda7111,True,False,False
a1978f83-357f-11eb-bb43-001a7dda7111,True,False,False
a19593d9-357f-11eb-991f-001a7dda7111,True,False,False
a19852eb-357f-11eb-a568-001a7dda7111,True,False,False
a196f366-357f-11eb-a4eb-001a7dda7111,True,False,False
a1965763-357f-11eb-8703-001a7dda7111,True,False,False
a1951eac-357f-11eb-9493-001a7dda7111,True,False,False
a19593e2-357f-11eb-a6ac-001a7dda7111,True,False,False
a1956cad-357f-11eb-b824-001a7dda7111,True,False,False
a198051e-357f-11eb-9e94-001a7dda7111,True,False,False
a1951f12-357f-11eb-86fa-001a7dda7111,True,False,False
a196094c-357f-11eb-a102-001a7dda7111,True,False,False
a1963049-357f-11eb-85a4-001a7dda7111,True,False,False
a195bb3e-357f-11eb-820b-001a7dda7111,True,False,False
a197b6c1-357f-11eb-921c-001a7dda7111,True,False,False
a197de12-357f-11eb-80d2-001a7dda7111,True,False,False
a19656f7-357f-11eb-994c-001a7dda7111,True,False,False
a198052c-357f-11eb-b975-001a7dda7111,True,False,False
a196f3c1-357f-11eb-b477-001a7dda7111,True,False,False
a1956d0f-357f-11eb-86f1-001a7dda7111,True,False,False
a1982c79-357f-11eb-af7c-001a7dda7111,True,False,False
a1982c57-357f-11eb-b9f3-001a7dda7111,True,False,False
a19656f6-357f-11eb-968c-001a7dda7111,True,False,False
a1982c5f-357f-11eb-95e6-001a7dda7111,True,False,False
a1967e47-357f-11eb-9153-001a7dda7111,True,False,False
a196099b-357f-11eb-8cf7-001a7dda7111,True,False,False
a1982c5a-357f-11eb-b2e8-001a7dda7111,True,False,False
a196573d-357f-11eb-8282-001a7dda7111,True,False,False
a195943f-357f-11eb-bfb8-001a7dda7111,True,False,False
a1982c18-357f-11eb-8053-001a7dda7111,True,False,False
a195bb32-357f-11eb-b275-001a7dda7111,True,False,False
a19657c8-357f-11eb-83d2-001a7dda7111,True,False,False
a1971a7c-357f-11eb-b5e5-001a7dda7111,True,False,False
a1980556-357f-11eb-b9de-001a7dda7111,True,False,False
a1982c4d-357f-11eb-86e1-001a7dda7111,True,False,False
a19852f6-357f-11eb-be05-001a7dda7111,True,False,False
a1971a98-357f-11eb-9923-001a7dda7111,True,False,False
a195e20c-357f-11eb-a759-001a7dda7111,True,False,False
a195bad6-357f-11eb-8742-001a7dda7111,True,False,False
a195e263-357f-11eb-aa84-001a7dda7111,True,False,False
a1982c82-357f-11eb-981f-001a7dda7111,True,False,False
a195e1f8-357f-11eb-b29e-001a7dda7111,True,False,False
a1963056-357f-11eb-bb90-001a7dda7111,True,False,False
a19657c5-357f-11eb-80ef-001a7dda7111,True,False,False
a1962ff2-357f-11eb-8dff-001a7dda7111,True,False,False
a196a563-357f-11eb-9547-001a7dda7111,True,False,False
a197b700-357f-11eb-9b54-001a7dda7111,True,False,False
a1951f27-357f-11eb-9a65-001a7dda7111,True,False,False
a1980554-357f-11eb-9310-001a7dda7111,True,False,False
a19741c9-357f-11eb-ada3-001a7dda7111,True,False,False
a197689e-357f-11eb-99eb-001a7dda7111,True,False,False
a1960911-357f-11eb-880f-001a7dda7111,True,False,False
a19768b3-357f-11eb-b7d3-001a7dda7111,True,False,False
a195bb11-357f-11eb-b4f1-001a7dda7111,True,False,False
a1960970-357f-11eb-a5cc-001a7dda7111,True,False,False
a195bade-357f-11eb-96cc-001a7dda7111,True,False,False
a19768bf-357f-11eb-bd14-001a7dda7111,True,False,False
a196301b-357f-11eb-a1b2-001a7dda7111,True,False,False
a19805a2-357f-11eb-aa74-001a7dda7111,True,False,False
a19741b9-357f-11eb-a4d9-001a7dda7111,True,False,False
a19852f8-357f-11eb-8c26-001a7dda7111,True,False,False
a195bb02-357f-11eb-baf6-001a7dda7111,True,False,False
a1951ede-357f-11eb-9766-001a7dda7111,True,False,False
a19805b8-357f-11eb-965e-001a7dda7111,True,False,False
a1960931-357f-11eb-abad-001a7dda7111,True,False,False
a1982c53-357f-11eb-a4f3-001a7dda7111,True,False,False
a19593ee-357f-11eb-a1ac-001a7dda7111,True,False,False
a1982cb4-357f-11eb-8b33-001a7dda7111,True,False,False
a196306c-357f-11eb-9ccf-001a7dda7111,True,False,False
a1971aa4-357f-11eb-ac81-001a7dda7111,True,False,False
a195bb52-357f-11eb-93f8-001a7dda7111,True,False,False
a19609b7-357f-11eb-b0be-001a7dda7111,True,False,False
a1967e8f-357f-11eb-a881-001a7dda7111,True,False,False
a196f3a2-357f-11eb-bb13-001a7dda7111,True,False,False
a196cc4a-357f-11eb-9cee-001a7dda7111,True,False,False
a195e245-357f-11eb-9fd3-001a7dda7111,True,False,False
a19804c0-357f-11eb-8fa1-001a7dda7111,True,False,False
a1959427-357f-11eb-8e4e-001a7dda7111,True,False,False
a1967e6a-357f-11eb-94da-001a7dda7111,True,False,False
a1960981-357f-11eb-a860-001a7dda7111,True,False,False
a1956ce4-357f-11eb-9ca6-001a7dda7111,True,False,False
a197b6a4-357f-11eb-be5f-001a7dda7111,True,False,False
a196a546-357f-11eb-921e-001a7dda7111,True,False,False
a196f38b-357f-11eb-8cb2-001a7dda7111,True,False,False
a196572b-357f-11eb-a30c-001a7dda7111,True,False,False
a19545eb-357f-11eb-8eb7-001a7dda7111,True,False,False
a196571a-357f-11eb-899b-001a7dda7111,True,False,False
a196f388-357f-11eb-a3fa-001a7dda7111,True,False,False
a1959422-357f-11eb-b8d5-001a7dda7111,True,False,False
a1978fc6-357f-11eb-8799-001a7dda7111,True,False,False
a195e1f5-357f-11eb-815e-001a7dda7111,True,False,False
a196f3af-357f-11eb-a1aa-001a7dda7111,True,False,False
a1982c46-357f-11eb-af02-001a7dda7111,True,False,False
a195bb4d-357f-11eb-907d-001a7dda7111,True,False,False
a197de01-357f-11eb-bec4-001a7dda7111,True,False,False
a19768bd-357f-11eb-b613-001a7dda7111,True,False,False
a195e275-357f-11eb-906a-001a7dda7111,True,False,False
a1971ad3-357f-11eb-9412-001a7dda7111,True,False,False
a19741d6-357f-11eb-9911-001a7dda7111,True,False,False
a196a54b-357f-11eb-82ed-001a7dda7111,True,False,False
a196098b-357f-11eb-bd9a-001a7dda7111,True,False,False
a19545ec-357f-11eb-8af8-001a7dda7111,True,False,False
a19545bf-357f-11eb-afb1-001a7dda7111,True,False,False
a196f3d0-357f-11eb-943f-001a7dda7111,True,False,False
a19768a8-357f-11eb-8d68-001a7dda7111,True,False,False
a196098f-357f-11eb-b049-001a7dda7111,True,False,False
a196f37e-357f-11eb-90f8-001a7dda7111,True,False,False
a1962fef-357f-11eb-8a18-001a7dda7111,True,False,False
a19545d3-357f-11eb-a997-001a7dda7111,True,False,False
a1982c67-357f-11eb-bef1-001a7dda7111,True,False,False
a195bae0-357f-11eb-b35c-001a7dda7111,True,False,False
a1956cf3-357f-11eb-b68f-001a7dda7111,True,False,False
a195bb17-357f-11eb-a21d-001a7dda7111,True,False,False
a19805b4-357f-11eb-8a94-001a7dda7111,True,False,False
a196a590-357f-11eb-906b-001a7dda7111,True,False,False
a195bb35-357f-11eb-8ea2-001a7dda7111,True,False,False
a19593ce-357f-11eb-b8ef-001a7dda7111,True,False,False
a197ddb3-357f-11eb-b37a-001a7dda7111,True,False,False
a1951ecd-357f-11eb-af94-001a7dda7111,True,False,False
a19804f5-357f-11eb-a001-001a7dda7111,True,False,False
a1951f26-357f-11eb-869e-001a7dda7111,True,False,False
a1963048-357f-11eb-a46d-001a7dda7111,True,False,False
a196a559-357f-11eb-8be1-001a7dda7111,True,False,False
a197b6f4-357f-11eb-9919-001a7dda7111,True,False,False
a19593c2-357f-11eb-b9c0-001a7dda7111,True,False,False
a19545a0-357f-11eb-840d-001a7dda7111,True,False,False
a195bacc-357f-11eb-803c-001a7dda7111,True,False,False
a1967e5f-357f-11eb-a25e-001a7dda7111,True,False,False
a196a57a-357f-11eb-b1e2-001a7dda7111,True,False,False
a1963023-357f-11eb-9fb6-001a7dda7111,True,False,False
a196306a-357f-11eb-91a9-001a7dda7111,True,False,False
a1967e85-357f-11eb-a311-001a7dda7111,True,False,False
a1960955-357f-11eb-86ae-001a7dda7111,True,False,False
a197b6cc-357f-11eb-bb52-001a7dda7111,True,False,False
a1982c8e-357f-11eb-bf23-001a7dda7111,True,False,False
a194f783-357f-11eb-9ee2-001a7dda7111,True,False,False
a1982cc5-357f-11eb-bd32-001a7dda7111,True,False,False
a1954598-357f-11eb-998e-001a7dda7111,True,False,False
a1978fed-357f-11eb-85b7-001a7dda7111,True,False,False
a1960932-357f-11eb-8252-001a7dda7111,True,False,False
a1980576-357f-11eb-95da-001a7dda7111,True,False,False
a196091a-357f-11eb-ad55-001a7dda7111,True,False,False
