,train,val,test
0,a19609b0-357f-11eb-b110-001a7dda7111,a197b6cc-357f-11eb-bb52-001a7dda7111,a19804f7-357f-11eb-80fd-001a7dda7111
1,a195bad0-357f-11eb-ae3c-001a7dda7111,a1956cf6-357f-11eb-a19e-001a7dda7111,a1951eb5-357f-11eb-98dd-001a7dda7111
2,a19768a9-357f-11eb-bcda-001a7dda7111,a19768b4-357f-11eb-84d7-001a7dda7111,a19741bb-357f-11eb-89f8-001a7dda7111
3,a197b702-357f-11eb-9003-001a7dda7111,a1951ecb-357f-11eb-bea5-001a7dda7111,a197b6ae-357f-11eb-a88b-001a7dda7111
4,a1978fb8-357f-11eb-90ba-001a7dda7111,a1962ff2-357f-11eb-8dff-001a7dda7111,a1963013-357f-11eb-8c98-001a7dda7111
5,a196cc54-357f-11eb-9ffb-001a7dda7111,a19804f5-357f-11eb-a001-001a7dda7111,a19852e0-357f-11eb-8105-001a7dda7111
6,a196578b-357f-11eb-a121-001a7dda7111,a1971ac7-357f-11eb-801b-001a7dda7111,a197dded-357f-11eb-83f2-001a7dda7111
7,a196f392-357f-11eb-b88c-001a7dda7111,a195e1f7-357f-11eb-b516-001a7dda7111,a196098d-357f-11eb-bfb7-001a7dda7111
8,a1951f01-357f-11eb-a6d9-001a7dda7111,a195e1cf-357f-11eb-a906-001a7dda7111,a196cc5d-357f-11eb-bc9a-001a7dda7111
9,a194f796-357f-11eb-b46b-001a7dda7111,a196cc52-357f-11eb-937c-001a7dda7111,a196cc76-357f-11eb-b72c-001a7dda7111
10,a19741d9-357f-11eb-a319-001a7dda7111,a1951ef2-357f-11eb-afc3-001a7dda7111,a1971a80-357f-11eb-8e5c-001a7dda7111
11,a195e20d-357f-11eb-89f6-001a7dda7111,a1980554-357f-11eb-9310-001a7dda7111,a1967e72-357f-11eb-bac8-001a7dda7111
12,a196a56b-357f-11eb-9fb1-001a7dda7111,a19657a3-357f-11eb-af30-001a7dda7111,a1965749-357f-11eb-801a-001a7dda7111
13,a196300c-357f-11eb-9960-001a7dda7111,a196a559-357f-11eb-8be1-001a7dda7111,a197689e-357f-11eb-99eb-001a7dda7111
14,a197419e-357f-11eb-9993-001a7dda7111,a1980527-357f-11eb-b8ea-001a7dda7111,a19741e2-357f-11eb-b5f8-001a7dda7111
15,a197ddab-357f-11eb-9b1b-001a7dda7111,a19593d8-357f-11eb-b8b7-001a7dda7111,a19657b9-357f-11eb-9fbf-001a7dda7111
16,a19804d7-357f-11eb-9743-001a7dda7111,a197de2d-357f-11eb-9392-001a7dda7111,a1963071-357f-11eb-a209-001a7dda7111
17,a1982c9a-357f-11eb-93b5-001a7dda7111,a195e24e-357f-11eb-8cc5-001a7dda7111,a1978fed-357f-11eb-85b7-001a7dda7111
18,a196cc58-357f-11eb-b24a-001a7dda7111,a19545c5-357f-11eb-9865-001a7dda7111,a1982c7c-357f-11eb-abcd-001a7dda7111
19,a19593e9-357f-11eb-8689-001a7dda7111,a19804f2-357f-11eb-a9c3-001a7dda7111,a19657c7-357f-11eb-8073-001a7dda7111
20,a195bb20-357f-11eb-a78e-001a7dda7111,a19656fb-357f-11eb-885d-001a7dda7111,a19805bd-357f-11eb-b68a-001a7dda7111
21,a195e235-357f-11eb-8350-001a7dda7111,a1971ab9-357f-11eb-bdda-001a7dda7111,a196f3c1-357f-11eb-b477-001a7dda7111
22,a1965782-357f-11eb-8f87-001a7dda7111,a195e22d-357f-11eb-95fa-001a7dda7111,a19768b7-357f-11eb-9fbf-001a7dda7111
23,a1978fcc-357f-11eb-804c-001a7dda7111,a195bb37-357f-11eb-972f-001a7dda7111,a1978fdb-357f-11eb-8d75-001a7dda7111
24,a1971ae9-357f-11eb-8add-001a7dda7111,a195bb4d-357f-11eb-907d-001a7dda7111,a198056a-357f-11eb-a925-001a7dda7111
25,a1965786-357f-11eb-9e26-001a7dda7111,a196a553-357f-11eb-8dbf-001a7dda7111,a19768a0-357f-11eb-b12f-001a7dda7111
26,a195e21c-357f-11eb-b93b-001a7dda7111,a1967e5a-357f-11eb-95d9-001a7dda7111,a19804c0-357f-11eb-8fa1-001a7dda7111
27,a197b70a-357f-11eb-81c9-001a7dda7111,a1982c82-357f-11eb-981f-001a7dda7111,a1965760-357f-11eb-932f-001a7dda7111
28,a198059b-357f-11eb-a3d4-001a7dda7111,a19805b9-357f-11eb-acf2-001a7dda7111,a19741b5-357f-11eb-af91-001a7dda7111
29,a1963025-357f-11eb-9739-001a7dda7111,a195bb02-357f-11eb-baf6-001a7dda7111,a197b6ab-357f-11eb-a35b-001a7dda7111
30,a1951ea4-357f-11eb-a591-001a7dda7111,a19768b1-357f-11eb-ac81-001a7dda7111,a1978fab-357f-11eb-aaa9-001a7dda7111
31,a1980563-357f-11eb-b8ef-001a7dda7111,a196574a-357f-11eb-a0d8-001a7dda7111,a196f3b5-357f-11eb-9b58-001a7dda7111
32,a19741da-357f-11eb-8a51-001a7dda7111,a1971a7c-357f-11eb-b5e5-001a7dda7111,a195e1f8-357f-11eb-b29e-001a7dda7111
33,a1971a8a-357f-11eb-bd90-001a7dda7111,a1956cdb-357f-11eb-a2b4-001a7dda7111,a1963056-357f-11eb-bb90-001a7dda7111
34,a197688a-357f-11eb-acd9-001a7dda7111,a1956d0f-357f-11eb-86f1-001a7dda7111,a19852ee-357f-11eb-876a-001a7dda7111
35,a1982c2a-357f-11eb-970d-001a7dda7111,a196091a-357f-11eb-ad55-001a7dda7111,a19593d0-357f-11eb-9fea-001a7dda7111
36,a1967e9a-357f-11eb-bdc1-001a7dda7111,a19593fd-357f-11eb-98f7-001a7dda7111,a195bb12-357f-11eb-b112-001a7dda7111
37,a1978f99-357f-11eb-8a04-001a7dda7111,a19768b0-357f-11eb-923c-001a7dda7111,a195bacc-357f-11eb-803c-001a7dda7111
38,a19593c9-357f-11eb-b474-001a7dda7111,a196a572-357f-11eb-a0ee-001a7dda7111,a1967e5f-357f-11eb-a25e-001a7dda7111
39,a19741c3-357f-11eb-a705-001a7dda7111,a196cc9a-357f-11eb-ad98-001a7dda7111,a196a57a-357f-11eb-b1e2-001a7dda7111
40,a196576b-357f-11eb-b10e-001a7dda7111,a1982ca0-357f-11eb-b2b7-001a7dda7111,a195942f-357f-11eb-93a5-001a7dda7111
41,a1971abb-357f-11eb-907a-001a7dda7111,a1960955-357f-11eb-86ae-001a7dda7111,a19608fe-357f-11eb-ab16-001a7dda7111
42,a19805b6-357f-11eb-a8c2-001a7dda7111,a1967e51-357f-11eb-936f-001a7dda7111,a198051e-357f-11eb-9e94-001a7dda7111
43,a1980595-357f-11eb-94c6-001a7dda7111,a19741b9-357f-11eb-a4d9-001a7dda7111,a1982cc5-357f-11eb-bd32-001a7dda7111
44,a1956cfa-357f-11eb-9673-001a7dda7111,a19741af-357f-11eb-b7ce-001a7dda7111,a197b6e3-357f-11eb-90e8-001a7dda7111
45,a195e265-357f-11eb-a245-001a7dda7111,a1982c5f-357f-11eb-95e6-001a7dda7111,a19593c6-357f-11eb-b657-001a7dda7111
46,a1951f24-357f-11eb-8b7d-001a7dda7111,a196306a-357f-11eb-91a9-001a7dda7111,a196f376-357f-11eb-b10a-001a7dda7111
47,a1978f83-357f-11eb-bb43-001a7dda7111,a1982c40-357f-11eb-ba7c-001a7dda7111,a196098b-357f-11eb-bd9a-001a7dda7111
48,a19804c5-357f-11eb-bd31-001a7dda7111,a1963064-357f-11eb-bc18-001a7dda7111,a196f3d1-357f-11eb-bc78-001a7dda7111
49,a19593d9-357f-11eb-991f-001a7dda7111,a1951ee4-357f-11eb-9d0b-001a7dda7111,a19545a0-357f-11eb-840d-001a7dda7111
50,a19852eb-357f-11eb-a568-001a7dda7111,a197ddda-357f-11eb-be61-001a7dda7111,a1965771-357f-11eb-821a-001a7dda7111
51,a196f366-357f-11eb-a4eb-001a7dda7111,a197b6f0-357f-11eb-8adf-001a7dda7111,a195e26c-357f-11eb-95a8-001a7dda7111
52,a1982be0-357f-11eb-829a-001a7dda7111,a196f377-357f-11eb-a69b-001a7dda7111,a1960911-357f-11eb-880f-001a7dda7111
53,a1965763-357f-11eb-8703-001a7dda7111,a196cc67-357f-11eb-be81-001a7dda7111,a1980542-357f-11eb-8067-001a7dda7111
54,a1951eac-357f-11eb-9493-001a7dda7111,a19768ae-357f-11eb-9195-001a7dda7111,a1971aa7-357f-11eb-806d-001a7dda7111
55,a19593e2-357f-11eb-a6ac-001a7dda7111,a1962ff0-357f-11eb-8aff-001a7dda7111,a1982c63-357f-11eb-b699-001a7dda7111
56,a1956cad-357f-11eb-b824-001a7dda7111,a196cc64-357f-11eb-bb28-001a7dda7111,a195badc-357f-11eb-a490-001a7dda7111
57,a1951f12-357f-11eb-86fa-001a7dda7111,a1980559-357f-11eb-befd-001a7dda7111,a1963081-357f-11eb-aaf3-001a7dda7111
58,a196094c-357f-11eb-a102-001a7dda7111,a1963032-357f-11eb-bfeb-001a7dda7111,a19741b2-357f-11eb-a945-001a7dda7111
59,a1963049-357f-11eb-85a4-001a7dda7111,a195bacf-357f-11eb-ae3d-001a7dda7111,a19804d9-357f-11eb-a0a1-001a7dda7111
